3,Quilmes 710,255,cervecero,
4,Hamburguesa completa,1999,cocinero,
5,Milanesa,980,cocinero,
6,Destornillador,560,bartender,
7,Corona,769,cervecero,
8,Sandwich milanesa,1100,cocinero,
10,Chocotorta,750,cocinero,
11,Gaseosa,450,bartender,
12,Agua,500,bartender,
13,Helado,300,cocinero,
14,Papas Fritas,799,cocinero,
15,Daikiri,800,bartender,
16,milanesa a caballo,2500,cocinero,
17,Corona 710,670,cervecero,
18,Hamburguesa de garbanzo,1799,cocinero,
19,Empanada de carne,499,cocinero,
20,Empanada de JYQ,450,cocinero,
